Keyword,Score
학교,129.44349252012265
소식,129.0521125661482
초보,128.41283367391762
다소,128.35519504571192
전작,127.06814704264559
개정판,126.94894819654519
해도,126.87952963114229
희망,125.96640598091443
나라,125.68396467387674
이북,125.15465754635595
우주,124.94028846431888
완독,123.66081912512539
분야,122.85793506667912
능력,121.64780998981243
서술,121.41486669832403
심리,121.3235437545405
원작,121.24153330760167
질문,121.0062568416221
마치,119.77548726947148
추리,119.72201893929098
살짝,119.61741926129729
크게,119.20968356619471
반드시,118.60170108537254
교과서,118.26882960613715
해결,118.18915479565139
미국,118.18042936564858
에피소드,117.94595253299966
말씀,117.83878670793818
사이,117.69284259025738
시험,117.64457922010233
기술,117.58984872678917
다행,117.49780484850712
청소년,117.44567883152696
판타지,117.21580753520132
그동안,116.95267653991426
존경,116.91330447375314
충격,115.85936260635967
등장,115.82393933258436
이자,115.29739735084479
제발,115.28883949476531
글자,114.70308989804154
흡입,114.47200035668385
부담,114.22050642485466
현대,112.88949492126974
기존,112.80567529173365
한장,112.620599160601
이전,112.40448833637785
가끔,112.08946301490424
설정,111.62237988883875
우리나라,111.38204123019968
자연,111.35789555236536
음식,111.34134880901786
특유,111.28094808953226
신작,111.2519296213223
어서,111.24880062352435
대화,111.22812879067487
독학,111.16862914961371
인류,111.04180188194418
절판,111.0159998750347
핵심,110.85522269625298
자기계발,110.81663045729466
동시,110.55603713512274
부터,110.06666003910223
정치,109.83902091772005
베스트셀러,108.98517537994323
제시,108.81999977967993
지인,108.72039472724815
활용,108.57126104683176
한편,107.09691207284179
소리,107.00385639454882
슬픔,106.84871068734834
게이고,106.43360713072657
예상,106.38122792944611
글씨,106.34673764259833
긍정,106.28385195373914
학생,106.00701626818788
원서,105.0998300698235
자유,104.93212418399261
즐거움,104.8165722578876
포기,104.73796125096266
워낙,104.69131210798214
두께,104.30594199142804
시기,103.80579669384036
인지,103.78842370450371
천재,103.66816269249664
절대,103.27877946305017
스토어,103.24709206597888
이기,103.04124053626282
일이,103.00810866855524
계기,102.76929259028759
고통,102.43676757060436
자리,102.40780734673646
애니,102.32810316447524
평생,102.25047147753317
분석,102.04149120342608
오히려,102.03979823575862
감독,101.56025289964506
예술,101.49951708820431
중고,101.46941765786688
장용,101.09804967403197
얼마,101.01423316491832
확인,100.73260312864645
마무리,100.4132970935088
진행,100.06370066892073
논리,99.849717254976
입장,99.77146100791158
재료,99.69242258739871
식물,99.59400040921298
자꾸,99.48372187998929
얼굴,99.47744543303183
인터넷,99.32345140004253
사례,99.0170025803605
진실,98.88229581229014
웃음,98.79408985485715
정독,98.55698979635375
가득,98.17932818026813
전집,98.16246832562369
추억,98.06830671298563
지혜,97.85422279810234
종교,97.67918196630758
선생,97.64833704691151
스마트,97.6394164721565
번역본,97.42079559645728
전부,97.35693167368623
세계사,96.68664063715586
크기,96.50053917491307
의식,96.34624770147722
자극,96.26731973491002
애정,96.26251554083427
원래,96.15164142843697
부자,96.05110646328089
수학,96.03057135946062
대하,95.40298120751395
음악,95.25128520422216
영화로,95.21756357770178
본집,95.1936969390294
이제야,94.86373071823525
울림,94.80345062507243
전달,94.36684230778984
성경,93.90351696263203
완성,93.87307473147152
여러가지,93.76970783450327
장르,93.61676860632238
초판,93.26406426920141
사유,92.9896292436369
대박,92.96566755033582
결과,92.75856833603187
방향,92.50147456218355
합격,92.3304762837094
습관,91.29830269616144
적용,91.24875894222829
결코,90.75701118456624
양장본,90.55809829959935
호기심,90.42994390266996
좀더,90.32278597101282
특전,90.22654971019502
서점,90.21384397058614
커버,90.16628823392807
후반,89.75860111351571
예정,89.68437327451666
평가,89.45976041786604
경제학,89.4492262901691
그게,89.41293895783419
등장인물,89.21129818483091
세계관,89.15148233669466
태도,89.12607664212338
학습,89.0969000182222
사전,89.09267654023124
대가,89.01126219670054
후기,88.73518152707113
내면,88.69238700706393
전반,88.67906353506923
바람,88.50243433246791
본인,88.40694417768387
동화,88.01792906024858
나중,87.96185619116082
차근차근,87.87398758158785
만날,87.56249553682453
포장,87.42772082254763
세기,87.3281750272254
교양,87.10481670826123
필사,87.06246561084828
중심,86.95191100290648
버전,86.89804174603022
미스터리,86.86677786784415
상처,86.8169239506872
중국,86.6811790761117
당장,86.65709078283096
신경,86.6446981690204
구체,86.53306370831687
심리학,86.51089759179254
거기,86.3356810025332
국내,86.24902801326604
유머,86.08097149780654
수리,85.99050406205242
청춘,85.93018427445172
