Keyword,Score
필요,174.0435386334572
투자,173.93723993604735
수준,173.21103725040484
무척,172.87489279354494
주의,172.68590061424257
상상,172.67342340973596
미래,172.6719743874458
문체,171.76831876349902
생활,171.26196347929363
시절,170.74736285343636
도전,170.47505701660404
가족,170.3379376002665
시인,170.02209748288536
듭니,169.7617298611411
또한,168.67432717550915
실천,168.515875817508
관계,168.47356312195194
점점,167.98575859805587
수가,167.57768164708241
용기,167.54789381319333
무조건,167.47897879053332
서적,167.21608925922175
필독,167.01369635001808
매일,166.39174031640547
최근,166.1705557130349
남자,165.69809936498385
유시민,165.5889805168383
여성,164.55822383164994
해석,163.84906276840456
도착,163.09658277904165
시집,162.71648425903646
전체,162.5787866476955
아들,162.575604134013
가독성,162.16671047879706
기초,161.38105802795246
정발,161.2471211444498
실제,161.00896482868365
감성,160.86456374546108
나름,160.83760358034397
정신,159.54532081132717
전혀,159.40225016690476
방식,159.3152415017863
참고,157.62248841702035
고양이,157.520626564259
전자책,157.5192569418769
단숨,156.20621629852297
힐링,156.15121426758964
언어,155.85961260817788
행복,155.4716441277093
평소,154.84339553662326
스스로,154.30826840582262
시각,154.19568866673717
출판,153.54139256053494
비교,152.82279823796148
진심,152.69675542419242
감탄,152.40368503818988
편이,152.3418460834296
사용,151.84343941302572
상상력,151.47998621950214
무슨,150.98013527610246
직접,149.83081533819615
초반,149.61605719093117
예약,148.98076829444395
배경,148.9687994803496
여기,148.70761297588243
여자,148.59644227874617
기록,147.70390891251523
변화,147.4446377604564
분량,147.2598470645491
수도,145.55834945647132
상세,144.7597895509091
지도,143.6413565100987
개념,142.29152287578967
보지,141.82327890396664
흐름,141.472561589695
누군가,139.93938651596682
갈수록,139.91009178760814
주식,139.66934551381436
그녀,139.46832473782635
영상,139.3819316705392
만족,139.3524843795967
연습,139.11276133988673
접근,138.9778519781862
수록,138.87907088932923
두고두고,138.7153985392811
초보자,138.2779329574157
이론,137.94997473936007
자료,137.70557277373658
자주,136.95832705174365
과연,136.92996073370236
문화,136.18370902284275
소식,136.07650811868353
아쉬움,136.06165863706937
경제,135.99856551732927
대중,135.83457900435033
걱정,134.9618905117619
다소,134.7322473526441
여름,134.7216642837411
학교,134.7081127830918
행동,134.3491764477065
장면,133.70135925534396
초보,133.51478740915186
개정판,133.0415405383693
전작,132.83652097280893
해도,132.64994152584853
희망,129.87621718612792
나라,129.74282938264332
이북,129.0793674841728
분야,128.77387916426798
원작,128.71909598773476
완독,127.89929765908722
우주,127.39935675614448
질문,125.9807270549194
능력,125.94151269631847
서술,125.83920155407604
심리,125.68930375181156
마치,125.30304508839227
추리,124.89616410023464
살짝,124.8036395561091
크게,124.27633294998131
시험,123.8466575792349
다행,123.0335569363038
그동안,122.86962947862128
반드시,122.86153756512505
교과서,122.49054895273301
청소년,122.44013781913313
말씀,122.28584758260095
기술,122.14059707549809
해결,121.82387073535142
미국,121.81269468913668
판타지,121.44970785507994
존경,121.3458472794464
충격,121.32264524282851
에피소드,121.31603138709818
사이,121.19156194966642
제발,119.8152828210479
글자,119.34829852357063
부담,119.18275155708999
등장,119.06123069806962
흡입,118.51276297621288
이자,118.42872816718769
기존,118.08444999303417
독학,117.59378198468286
이전,117.49350322462882
절판,117.19857666834402
가끔,117.12827183401387
어서,117.07297714691416
특유,116.8382372151297
자연,116.79668455031114
현대,116.45678704681112
핵심,116.13183064443886
자기계발,116.06455620296676
한장,115.61856923724935
지인,115.44552571416457
대화,115.44311856671396
우리나라,115.21519622232917
설정,115.09189129354463
