구분,ISBN13,review_content,rating
자기계발,9788901219943,"왜 이책이 베스트셀러인지를 모르겠다. 우리가 그동안 알고있었지만, 인지하지 못했던 쓸데없는 것 말고 중요한것에 집중하라를 말하고자 하는데, 그 내용이 참 안읽힌다.",2.0
자기계발,9788901219943,"도대체 무슨 내용인걸까요....오랫만에 읽는 책인데...  시간 아깝고, 도통 작가가 무슨말을 하고 싶어 하는건지...",2.0
자기계발,9788901219943,"와 이책 읽고 나만 맘에 안드는줄 알았는데 다 비슷ㅋㅋㅋ진짜 뭘 말하려는지도 모르겠고 제목만 자극적,역설적이지 결국 다른 자기계발 책이랑 말하려는건 비슷하고 이게 도대체 왜 베스트 셀러죠??? 올해 벌써 책 몇권을 샀는데; 제일 돈아깝고 중고로 다시 팔러감. 나만 노잼아니였구나~읽지마세요",1.0
자기계발,9788901219943,"참 시간 아깝다는 생각뿐이네요 제목과 연결성도 부족하고, 무엇을 말하고 싶어하는지 알 수 없는 그런 책이라고나 할까? 정말 이건 아니어요!!",1.0
자기계발,9788901219943,정말 비추입니다. 우리집 어떤분이 ˝이걸 돈 주고 샀어?˝ 하더군요.,1.0
자기계발,9788901219943,"챕터 1, 2 정도가 말하고자 하는 전부. 나머지는 내용은 그냥 주석에 불과함. 책 내용이 너무 가벼워서 한번 읽고 버릴 책에 들어간다.",1.0
자기계발,9788901219943,베스트셀러라서 베스트셀러인 책.도대체 뭐야 이거.책사서 돈아까웠던 책 분류함에 넣어둡니다.,1.0
자기계발,9788901219943,자신감과 자존감을 높여주는 책~!  이런 책이 베스트셀러라면 나도 작가가 될수 있겠다~ ^^,1.0
자기계발,9788901219943,"다른 분들의 후기를 보고 구매했는데, 신경끄는데 크게 도움이 되진 않는 것 같습니다.",3.0
자기계발,9788901219943,전반적으로 읽을거리도 있고 괜찮은거 같긴한데....왜 이 책의 제목이 신경끄기의 기술인지 모르겠다... 신경끄는데 크게 도움은 안된다.,2.0
자기계발,9788901219943,올해 구매한 책중 가장 최악의 책으로 꼽고싶음 제일 문제 되는건 번역이 깔끔하지 않은것 같은 느낌임,1.0
자기계발,9788901219943,낚시의 기술..,2.0
자기계발,9788901219943,중고로 얼른 팔았음중고 쌓이는구나 ㅋㅋ,2.0
자기계발,9788901219943,가끔 후기나 서평보고 책을 구입하는데 ㅠ 서평많이 달렸다고 무턱대고 사게 된 듯한 느낌 ㅠ 판형도 작고 ㅠ 내용도 그닥 ㅠ,2.0
자기계발,9788901219943,"여느 베스트 셀러처럼 상당히 소프트해요. 한 시간이면 읽을 수 있고, 두번 읽게 되지는 않을 것 같은 그런 책입니다.",4.0
자기계발,9788901219943,자기계발서에서 손 뗀지 시간이 많이 흘렀다. 아래 쪽에 구매하지 않고 자기계발서에 관한 비평을 남기신 분들이 계시길래 구매가 망설여졌으나 읽고 나서 구매하길 잘했다는 생각이 들었다. 뻔한 얘기를 줄줄이 늘어놓지 않는 것 같아서! 하지만 제목이 내용을 다 담고있지 못하는 느낌이 든다.,5.0
자기계발,9788901219943,별루에요... 베스트셀러라 기대하고 봤는데.. 중간에 읽다가 중고서점에 팔았어요,1.0
자기계발,9788901219943,최고다!!!,5.0
자기계발,9788901219943,다 읽진 않고 읽고있는데  너무 좋은 글이 많은 것 같아요. 알게모르게 나에게 유입된 미디어속의 가치관들을 깨닫고 차단하는 힘을 기르게 해주는 것도 좋아요.,5.0
자기계발,9788901219943,이상하게 자꾸 읽다가 딴생각을 하게만드는책집중하기가 어려웠다 그래서 읽는데 굉장히 오래걸렸다다음에 또 읽으면 괜찮으려나..,2.0
자기계발,9788901219943,몇장 읽다가 바로 중고로 팔았습니다.,1.0
자기계발,9788901219943,뻔한듯 뻔하지 않은 괜스레 다시 돌아보게되는 생각이 많아지는 책.,5.0
자기계발,9788901219943,구입보단..도서관에 빌려읽을껄 하는 생각이 드는 책ㅜㅜ,1.0
자기계발,9788901219943,"43쪽 - 성공을 결정하는 질문은 ‘나는 무엇을 즐기고 싶은가‘가 아니라, ‘나는 어떤 고통을 건딜 수 있는가‘다.",4.0
자기계발,9788901219943,책이 담고 있는 메시지는 강력하고 전환의 발상을 할 만큼 놀랍지만 그 메시지를 풀어나가는 과정은 지루하고 설득력이 부족하다. 이런류의 책이 그러하듯 후반부로 갈수록 뒷심은 부족하고 중언부언하는 부분이 있다. 그러나 메시지 자체에 집중한다면-기대감을 낮춘 다음-읽어볼 만하다.,3.0
자기계발,9788901219943,선택과 집중에 생각하게 됐습니다.,3.0
자기계발,9788901219943,2017년 12월 겨울. 기말고사가 끝나기 전에 주문해두었습니다. 시험을 끝내고 난 후 당장 읽은 책입니다. 다 알고는 있지는 우리가 지키지 못하는 것들... 지친 일상에 너무 신경쓰는 우리 삶에 조언을 주는 책입니다.,4.0
자기계발,9788901219943,글쎄....  왜 베스트 셀러인지  한번 읽고 책상에서 먼지 쌓이고 있는 책 별로...,3.0
자기계발,9788901219943,행복으로 가는 길에는 똥덩어리와 치욕이 널려 있다,5.0
자기계발,9788901219943,"새로운 버전의 자기계발 책, 고통에 관한 저자의 관점은괜찮아 보인다.",4.0
자기계발,9788901219943,책의 요지는 제목에 모두 담겨있는 느낌을 받았습니다. 나름대로 기대감을 가지고 읽기 시작했는데 읽는내내 시간이 아까울 정도로 내용이 부실하네요. 저에겐 와닿지 않는 내용이었습니다. 지극히 사견입니다.,2.0
자기계발,9788901219943,"이 책을 살지 말지 고민하는 사람들에게 말하고 싶습니다.아무리 좋지않은 책 이라도 그 속에서 하나는 배울 것이 있다고.그리고 저는 이 책에 매우 만족합니다!물론, 하나 뿐 아니라 여러가지를 배운다는 점에서",5.0
자기계발,9788901219943,살면서 자기계발서를 한 번도 내 손으로 산적도 없고 읽은 적도 없는데 미리보기 몇페이지를 읽고 나서 이건 읽어야겠다는 생각이 들었다 그리고 그 선택이 옳았다,5.0
자기계발,9788901219943,뻔하지 않은 내용과 슥슥 넘겨지는 페이지. 간만에 살만한 책이었음은 분명함. :),4.0
자기계발,9788901219943,"주장이 일관되지가 않아서 읽는 내내 혼란스러웠어요.1. 각 장의 주제들을 통합하는 논거가 없어요.2. 각 장마다 현실 사례들이 나오는데, 사례들이 장의 주제와는 연관성이 부족해보여요.3. 저자의 경험담에사 뭔지모를 허세가 느껴져요. (독자에게는 허세부리지 말라고 했으면서..!)",3.0
자기계발,9788901219943,쉽게 읽혀지고 내용도 나름 괜찮다고 생각함.,4.0
자기계발,9788901219943,좋아요,4.0
자기계발,9788901219943,나를 놓아버리지만 어떤 무언가는 마음속에 가지고있어야 한다는 느낌을 받았음,5.0
자기계발,9788901219943,베스트셀러라 읽지 않고 있었는데 요즘 나의 고민의 해결책을 던져주었다,4.0
자기계발,9788901219943,이게 왜 그리 평점이 높은지 아무리 읽어도 모르겠습니다.   그냥 분량을 맞추기 위해 여기저기 짜집기 한 책 정도 밖에 안보입니다.,1.0
자기계발,9788901219943,"자기계발서의 끝, 마지막 라인자기계발서가 해줄수 있는 최대한의 말을 해준다시작의기술 작가와 비슷한 스타일로 말함늘 그렇지만 책이 가치를 가지는건 본인이 실천할때만이다",4.0
자기계발,9788901219943,책 종이 절단면 질이너무 안좋습니다. 보풀도 많이 일어나고 거친 종이를 사용해서 좋은 내용에 그렇지 못한 포장이 될거 같습니다.,2.0
자기계발,9788901222660,$2022-10_당신에게 선빵을 날리겠다.당신은 ˝메신저˝에 대해서 얼마나 모르고 있는것을 얼마나 알고있는가?나와 세상의 모든 곪고 썩은 뇌와 창자가 뒤엉켜 튀어나오고있었다.개인적인 대참사가 일깨워준 깨달음이라는 기적을 놓치지않은 자만의 스토리를 보고 많은것을생각했다.메신저는 바로 당신!,5.0
자기계발,9788901222660,"자기개발 서적을 쓴 사람 중에 실제로는 그런 삶을 살지 못하는 사람들이 많다. 그것이 과연 의미있나 의문인데, 이 책은 그걸 망설이지 말고 콘텐츠를 만들어서 하라고 한다.요새 유행하는 유트브 크리에이터들이 참고하면 도움이 될 것 같다.",3.0
자기계발,9788901226606,이책은 독자에게 자신이 가진 능력보다 더 과장해서 부풀려서 누군가를 기만하는 방법을 가르쳐주고 그렇게 해보라고 부추기려 쓰여진 책이 아니다. 오려 이책은 상대방으로부터 얻는 신뢰를 가장 강조한다. 상대를 속이려는 사람처럼 어리석고 아둔한 자는 없다. 정직함. 적극적 자세. 자신감.,5.0
자기계발,9788901226606,사회심리학의 연구결과들을 흥미롭게 전달한다는 점에서 좋은 책이다.,5.0
자기계발,9788901226606,보이는 능력에 대해서 다양한 연구결과를 가져와 정리해 놓은 책입니다. 책의 20프로가 레퍼런스일 정도로 그 자료가 방대한데도 읽기 쉽고 간결하게 설명하고 있습니다.  여러번 읽어서 실생활에 적용하면 도움 될 것 같습니다.,3.0
자기계발,9788901230658,"이렇게 써도 베스트셀러가 될 수 있군요. 사례, 근거, 논리는 없고 온통 ‘당신은 이렇게 해야만 한다, 그러면 당신은 저렇게 될 것이다.‘ 밖에 없어요. 아무것도 아닌 말을 거창하게 적어둔 책. 덩달아 이 책 추천한 사람도 앞으로는 믿지 않게 됐습니다. 이런 게 책이라고 팔리다니.. 쓰다보니 더 화",1.0
자기계발,9788901230658,너무 재미있게 잘읽었습니다.♡♡계속 읽어서 습관으로 만들게요,5.0
자기계발,9788901230658,생각만으로 인생이 바뀐다는 헛소리를 뒤로하고 행동을 촉구하는 책. 안전지대에서 벗어나지 못하고 지식만 늘리면서 어떤 자기계발서를 봐도 뻔한 이야기라고 되뇌고 있다면 이젠 새로운 행동을 시작할 때이다.,4.0
자기계발,9788901230658,누구나 알지만 행동으로 옮기는사람은 극히 일부죠~그행동력에  무언가 비밀스러운 기술이 있을까하는 기대감은역시나~하는 실망감과함께 에너지뿜뿜한 필력에 못미치네요!!,3.0
자기계발,9788901230658,시작의 기술을 배우고 싶을 때 추천하고 싶은책,4.0
자기계발,9788901230658,시작이 힘든 저에게 시작할 수 있는 힘을 주었습니다. 행동해보겠습니다!,5.0
자기계발,9788901234472,"새로운 내용이 있나 싶어서 구매해 읽어보았으나, 기존 내용이 대부분이어서 곤도 마리에 씨가 쓴 책을 읽어보신 분들은 굳이 또 읽을 필요가 있을까 합니다.",3.0
자기계발,9788901234472,신박한 정리 프로그램 보고 여기까지 왔네요. 썬더왕대표 추천보고 한번 믿고 사봅니다. 다음 편 정리의 기술도 기대됩니다.,5.0
자기계발,9788901235622,우리나라의 수학교육에 대한 비판점을 이야기하지만 입시에 대한 이야기 말고는 공감하기 어렵다. 저자가 한국에서 고등학교를 다녔을 때와 지금은 정말 많이 변화했을 터인데...,3.0
자기계발,9788901235622,"소개에 나와있는 게 전부. 오로지 증정 담요 때문에 구입했고, 혹시나 펼쳤으나 역시나 덮는 책. 7차교육과정 학생도 2x-4=6 에서 왜 오른쪽으로 넘기면 ➕4 되는지 배웠고, 사각형은 삼각형으로 쪼개서 내각이 360도인 거 배웠어요. 시대가 달라졌는데 너무 70년생의 예시... 담요는 참 예뻐요!",1.0
자기계발,9788901235622,"수학이나 수학 공부에 대한 이야기인줄 알았는데, 개인의 에세이입니다. 가볍게 읽기에는 좋은데, ‘수학은 맥락을 이해하고 원리를 이해하는 것이 중요하고, 단순 암기나 계산기계로 공부하면 안된다‘라는 일반적인 이야기를 하고 있습니다. 덕분에 책은 빨리 읽히네요",2.0
자기계발,9788901239859,리뷰없음,0.0
자기계발,9788901239866,인간관계의 기술이 아니라 이성˝유혹˝의 기술이다. 영어 원제도 art of seduction. 역사적으로 유명한 나르스시스트 혹은 소시오패스들과 그들의 전형적인 유혹방법이 모범표본으로 언급되어 있다.픽업아티스트들이 하는 말들을 고급의 언어로 바꾼것과 다를 바 없는 내용.,2.0
자기계발,9788901240121,자기계발서 답게 또 낚였다!  앞으로도 수차례 낚일 것이라는 걸 안다~  비록 찰나의 순간이지만 파이팅을 외치고있는 내 모습이 좋기 때문이다^^,3.0
자기계발,9788901240121,"제목만 자극적일 뿐 실속없는 내용. 지식도 철학도 찾아보게 어렵고 그냥 화난 아버지가 자식 꾸짖는 느낌? 잔소리차럼 한소리 또하고 한소리 또하고...가볍고 가치없는 문맥..저에겐 책값이 아깝네요. 한 마디로, 이런 말은 나도 하겠어요.",1.0
자기계발,9788901240121,한문장이면 될걸 한 챕터로 길게 늘여써둠...사례라도 적어놓든지 읽으면서 지루했습니다.처음에는 열정적으로 살아라다가 끝에쯤되면 지금의 삶을 인정하라하고..이게 무슨..앞뒤가 안맞아요. 돈아까워요,1.0
자기계발,9788901240121,내던져짐에 대해 얘기하고 불평하고 비교질투하느라 스스로 감옥에 들어간다. 의식하지 않는다면 어느새 또 악순환을 반복하는 나를 발견한다.챕터 10은 더 특별하게 와닿았다.이 책을 읽고 있는 그대로 공감하고 인정하는 나를 보니 많이 성장했음을 느꼈다.,5.0
자기계발,9788901240121,"심장을 꿰뚫는다기보단 자극적으로 살살 긁는 느낌. 빤딱빤닥 닦인 문장들은 아니지만, 눈물을 머금으며 볼 정도로 대단한 통찰력이 있는 책은 아니지만 그럼에도 불구하고 어릴 적 가슴 속에 품고 지냈던 ‘내 인생은 하얀 도화지고 붓은 내가 쥐고있어.‘ 라는 결의를 새삼스레 다시 깨우쳐 준 좋은 책",4.0
자기계발,9788901244532,이분 유투브를 보다가 책을 사게 되었다. 이작가의  책은 두번째 구매인데  다른 사람과 갈등을 겪는 일이 있다면 많은 도움이 될 것이다. 따뜻한 마음을 느낄수 있었으며 두고 보아도 아깝지 않을 책이다. 인간관계에서 상처받은 사람들은 한번쯤 정독해 볼만한 책이다.,5.0
자기계발,9788901244532,"박상미교수님의 책을 받고 사람관계, 내마음 챙김, 정리 등모든부분이 익숙지 않는 저에게 스스로 단단해지는 법을 배우게 되었고 스스로를 챙길수 있는 계기가 되어 너무 좋았습니다~*^^♡♡ 덕분입니다~♡♡",5.0
자기계발,9788901248165,"“일을 잘하려면 어떻게 하는가?”에 대한 것이 아니라, “일을 잘한다는 것은 무엇인가?”에 관한 책이다. <일의 기술과 감각>에 대한 대화인데, 감각이란 것이 말로 설명하기 어려워 뜬구름 잡는 것처럼 오해될 수 있는데 일의 감각을 기르는 법에 대해 최대한 잘 풀어 설명하고 있다.",5.0
자기계발,9788901248165,큰 기대 없이 읽어야,3.0
자기계발,9788901248165,제가 좋아하는 작가 중의 한명입니다. 굉장히 논리적이고 고정관념에 갇히지않는 폭넓은 사고를 해서 좋아합니다. 대담 형식을 통해 미래 시대에 요구되는 능력과 덕목은 무엇일까 고찰해보게됩니다. 미래 사회 인정받는 인재가 되기위해 내가 현시점에서 무엇을 갈고닦을지 깊이 생각해보게됩니다,5.0
자기계발,9788901248752,리파형 출간 축하드리면서 바로 읽어보겠습니다 -구도진-,5.0
자기계발,9788901248752,유튜브찐펜입니다~~~축하드립니다,5.0
자기계발,9788901248752,제 인생서적으로 등극했습니다ㅎㅎ 강추합니닷!,5.0
자기계발,9788901248752,의사가 됐다는 점에 굉장한 프라이드를 갖고 공부법을 알려주겠다며 쓴 책이지만 그닥 배울 점을 못찾겠다. 매력 없는 책.,1.0
자기계발,9788901248752,공부에 제일 중요한건 꾸준함과 노력이겠죠. 마음은 먹었는데 공부의 방법을 모른다는 분들은 꼭 읽어보세요. 사람마다 맞는 공부법이 있겠지만 책의 방법 따라하는거 전 나쁘지않다고 생각해요. 어차피 공부는 성실히 하는게 제일 힘들어요.,4.0
자기계발,9788901248752,"공부법 참 좋고, 실천하면 정말 도움을 많이 받을 것 같은데, 핵심 외의 내용들을 책을 만들기 위해 길게 늘여쓴 느낌",3.0
자기계발,9788901248752,실제로 저자가 해보고 경험한 공부 노하우의 핵심만을 집어주는 느낌을 받았다. 마치 내 옆에 공부법 족집게 과외를 받는 듯한 느낌을 받았다. 공부는 멘탈싸움과 꾸준함이 왕도인듯하다. 그리고 반복도 중요한 방법중의 하나이다. 평소 떠다니는 공부법을 체계화해준 저자에게 감사의 인사를 전한다.,5.0
자기계발,9788901248974,"P. 310 당신이 반복적으로 하는 일, 그것이 바로 당신이다.  P. 390 재능은 천천히 성장한다. 우리는 묘목이 단숨에 커다란 떡갈나무로 자라기를 기대하지 않는다. 정원사처럼 생각하고 목수처럼 일하는 것이 도움이 된다. ""Think like a gardener, work like a carpenter""",5.0
자기계발,9788901248974,책을 읽다가 도저히 참을 수 없어서 한마디 하겠습니다. 가독성을 이렇게 무시해도 되는 건가요? 이 책은 노안 이 없고 시력이 좋은 사람만 읽어야 하는 책인가요? 작게 쓴 갈색 텍스트는 정말 뚫어지게 봐야 겨우 읽힙니다. 독서하면서 안구 고문 당하기는 또 처음이네요.,1.0
자기계발,9788901249735,이 책은 2009년에 출간된 <권력의 기술>이라는 책의 축약본이다. 설명란에 정보가 있지만 책 제목을 바꾸어서 마치 새로운 책인 듯 대대적인 마케팅을 하고 있기에 아마 이를 모르고 살 사람이 많을 것으로 생각된다. 전체 내용을 보고싶으면 2009년에 출간된 <권력의 기술>이라는 책을 구매하시길.,1.0
자기계발,9788901249735,기분 더럽네 진짜 왜 제목을 바꿔서 내서 한번 더사게 만든거지?,1.0
